,id,experiment,mAb,status
0,rh2685,IS-108,DEN3-wt,infected
10,rh2689,IS-108,DEN3-wt,protected
19,rh2690,IS-108,PGT121-LALAPG,protected
30,rh2695,IS-108,DEN3-wt,infected
41,rhBJ36,IS-108,DEN3-wt,infected
51,rhBJ03,IS-108,PGT121-wt,infected
60,rh2686,IS-108,PGT121-wt,protected
69,rh2699,IS-108,PGT121-wt,infected
79,r02071,IS-35,PGT121-LALA,protected
91,r05072,IS-35,PGT121-LALA,infected
104,r08026,IS-35,PGT121-LALA,infected
116,r97104,IS-35,PGT121-LALA,protected
128,rh2573,IS-35,PGT121-LALA,infected
141,rhBB23,IS-49,DEN3-wt,infected
156,rhBD98,IS-49,DEN3-wt,infected
171,r99009,IS-82,DEN3-wt,infected
190,rh2540,IS-82,DEN3-wt,infected
209,rh2582,IS-35,DEN3-wt,infected
221,r10061,IS-35,DEN3-wt,infected
234,r04031,IS-82,PGT121-wt,protected
252,r99059,IS-82,PGT121-wt,infected
271,rh2541,IS-82,PGT121-wt,infected
290,rh2421,IS-82,PGT121-wt,protected
309,rh2014,IS-82,PGT121-wt,protected
328,r07038,IS-49,PGT121-LALA,protected
342,rhBD70,IS-49,PGT121-LALA,protected
356,rhBE31,IS-49,PGT121-LALA,infected
370,rhBE72,IS-49,PGT121-LALA,protected
384,rhBE87,IS-49,PGT121-LALA,protected
398,r04124,IS-49,PGT121-wt,infected
412,r07036,IS-49,PGT121-wt,infected
426,rhBB59,IS-49,PGT121-wt,infected
434,rhBC67,IS-49,PGT121-wt,protected
448,rhBE61,IS-49,PGT121-wt,protected
462,r03144,IS-82,PGT121-LALA,protected
481,r04115,IS-82,PGT121-LALA,protected
499,r09044,IS-82,PGT121-LALA,protected
518,r05057,IS-82,PGT121-LALA,protected
536,rh2544,IS-82,PGT121-LALA,protected
555,rh2698,IS-108,PGT121-LALAPG,protected
565,rhBI97,IS-108,PGT121-LALAPG,protected
575,rhBJ37,IS-108,PGT121-LALAPG,protected
584,rhBK68,IS-108,PGT121-LALAPG,protected
593,rhBK70,IS-108,PGT121-LALAPG,infected
604,rhBK89,IS-108,PGT121-LALAPG,protected
615,rhBK90,IS-108,DEN3-wt,infected
626,rh2687,IS-108,PGT121-LALAPG,protected
636,rh2688,IS-108,PGT121-LALAPG,protected
646,rh2691,IS-108,PGT121-LALAPG,protected
656,rh2692,IS-108,PGT121-LALAPG,protected
666,rh2693,IS-108,PGT121-LALAPG,infected
676,rh2694,IS-108,PGT121-LALAPG,protected
686,rh2696,IS-108,PGT121-LALAPG,protected
696,rh2697,IS-108,PGT121-LALAPG,infected
706,r09033,IS-35,PGT121-wt,infected
728,r02135,IS-35,PGT121-wt,infected
750,r03055,IS-35,PGT121-wt,infected
772,rh2580,IS-35,PGT121-wt,protected
794,rh2581,IS-35,PGT121-wt,protected
